start,avg_diff
2020-10-01,-2.2874116425503574
2020-11-01,-1.9237914599763897
2020-12-01,0.20381445593524541
2021-01-01,1.5861252819364953
2021-02-01,0.11806475703882716
2021-03-01,-0.07898739987040872
2021-04-01,1.5214799689099006
2021-05-01,1.5071866877698696
2021-06-01,1.230675959239787
2021-07-01,2.869358046684682
2021-08-01,4.8481497606263995
2021-09-01,5.268718186654068
2021-10-01,8.320481837042154
2021-11-01,5.253894577865446
2021-12-01,3.877745107731279
2022-01-01,2.8803599046031447
2022-02-01,2.4944792135095533
2022-03-01,2.623374603633268
2022-04-01,1.7473386564041788
2022-05-01,1.2161794032961535
2022-06-01,0.2220794852041295
2022-07-01,-1.642617560299695
2022-08-01,-0.967475732486119
2022-09-01,-0.3007803960061363
2022-10-01,-0.08041397891877727
2022-11-01,0.8687062373008285
2022-12-01,0.2649565263358328
2023-01-01,1.0197709468095975
2023-02-01,1.1666713262535091
2023-03-01,-0.5036417476604879
2023-04-01,-2.3974842547769692
2023-05-01,-3.102099174129229
2023-06-01,-3.6045848782172043
2023-07-01,-2.6411663324905508
2023-08-01,-3.494260656874864
2023-09-01,-0.15643832186728257
2023-10-01,-1.0522126153174527
2023-11-01,-1.2536220931637374
2023-12-01,-1.0671472593232392
2024-01-01,-1.1883028415968244
2024-02-01,-0.5993538274316944
2024-03-01,-1.2523682813605148
2024-04-01,-1.8744785224445841
2024-05-01,1.592956421046374
2024-06-01,0.38385393600089457
2024-07-01,0.5367999935356065
2024-08-01,2.4803839639233174
2024-09-01,1.7591721156831186
2024-10-01,2.1612551249123713
2024-11-01,2.6301411437516924
